type	source	target	count	weight	count/weight
A	NontuftRS6	SyppyrFRB	2400	449.096	0.187
N	NontuftRS6	SyppyrFRB	1750	108.242	0.062
A	NontuftRS6	SyppyrRS	21000	3911.555	0.186
N	NontuftRS6	SyppyrRS	21500	1332.835	0.062
A	NontuftRS6	Bask56	3500	501.832	0.143
N	NontuftRS6	Bask56	4100	197.456	0.048
A	NontuftRS6	Axax56	4700	131.497	0.028
A	NontuftRS6	LTS56	3800	607.562	0.16
N	NontuftRS6	LTS56	3600	191.942	0.053
A	NontuftRS6	TuftRS5	9800	50017.028	5.104
A	NontuftRS6	TuftIB5	9500	48376.411	5.092
N	NontuftRS6	TuftIB5	9750	16586.383	1.701
A	NontuftRS6	Axax23	3510	6.74	0.002
A	NontuftRS6	nRT	5000	1252.535	0.251
A	NontuftRS6	TCR	9000	9026.743	1.003
N	NontuftRS6	nRT	4800	406.939	0.085
N	NontuftRS6	TCR	12250	4149.49	0.339
G	Bask23	SyppyrFRB	2400	14933.483	6.222
G	Axax23	TuftIB5	9000	1471.326	0.163
G	LTS23	Bask23	4410	3932.979	0.892
G	LTS23	SyppyrFRB	2100	3105.383	1.479
G	LTS23	LTS23	3240	1944.385	0.6
G	Axax56	TuftIB5	9250	1995.801	0.216
G	Axax56	NontuftRS6	11500	3217.313	0.28
G	LTS56	Axax56	5000	508.93	0.102
G	LTS56	LTS56	4000	4139.819	1.035
G	LTS56	TuftIB5	12000	450534.286	37.545
G	Bask56	NontuftRS6	8750	34498.449	3.943
G	Bask56	TuftIB5	10500	138381.706	13.179
G	Bask56	Bask56	3700	2823.977	0.763
G	LTS4	Spinstel4	11760	28232.574	2.401
G	Bask23	LTS23	3870	3468.261	0.896
G	Axax23	SyppyrFRB	1800	968.111	0.538
G	LTS23	Axax23	3870	698.994	0.181
G	Bask23	Spinstel4	9600	2597.365	0.271
G	Axax23	Spinstel4	10560	340.805	0.032
G	LTS23	Spinstel4	11040	2314.731	0.21
G	Axax23	NontuftRS6	8750	3160.45	0.361
G	LTS23	NontuftRS6	10750	13961.745	1.299
G	LTS23	TuftIB5	9750	161958.71	16.611
G	LTS23	TuftRS5	7600	125992.088	16.578
G	LTS23	Axax56	4700	65.793	0.014
G	LTS23	LTS56	5000	234.316	0.047
G	Bask56	Axax56	5000	285.132	0.057
G	LTS56	NontuftRS6	9750	119280.298	12.234
G	LTS56	Bask56	4100	1151.601	0.281
G	Bask56	LTS56	4200	3448.275	0.821
G	Bask56	Spinstel4	11040	3179.881	0.288
G	LTS56	Spinstel4	9840	5313.009	0.54
G	Bask56	TuftRS5	7200	114814.646	15.946
G	LTS56	TuftRS5	9200	172899.779	18.793
G	Axax56	TuftRS5	7800	4348.07	0.557
G	LTS56	SyppyrRS	23000	188720.661	8.205
G	LTS56	LTS23	4500	4386.787	0.975
G	LTS56	Axax23	4500	282.234	0.063
G	LTS56	Bask23	3600	1073.675	0.298
G	Axax56	SyppyrRS	24500	881.402	0.036
G	Bask23	Bask23	3420	632.469	0.185
G	Bask23	SyppyrRS	22500	248413.063	11.041
G	Axax23	SyppyrRS	25000	13534.828	0.541
G	Axax23	TuftRS5	9000	7254.883	0.806
G	LTS23	SyppyrRS	18500	274637.066	14.845
G	LTS23	Bask56	3600	75.723	0.021
G	Axax56	SyppyrFRB	1850	67.988	0.037
G	LTS56	SyppyrFRB	1800	14824.871	8.236
G	Bask23	TuftIB5	9500	48288.98	5.083
G	Bask23	TuftRS5	9200	46847.902	5.092
G	Bask23	NontuftRS6	12500	12118.488	0.969
