type	source	target	count	weight	count/weight
0	NontuftRS6	SyppyrRS	21500	1332.835	0.062
1	NontuftRS6	Bask56	3500	501.832	0.143
0	NontuftRS6	Bask56	4100	197.456	0.048
1	NontuftRS6	Axax56	4700	131.497	0.028
1	NontuftRS6	LTS56	3800	607.562	0.16
0	NontuftRS6	LTS56	3600	191.942	0.053
1	NontuftRS6	TuftRS5	9800	50017.028	5.104
1	NontuftRS6	TuftIB5	9500	48376.411	5.092
0	NontuftRS6	TuftIB5	9750	16586.383	1.701
1	NontuftRS6	Axax23	3510	6.74	0.002
1	NontuftRS6	nRT	5000	1252.535	0.251
1	NontuftRS6	TCR	9000	9026.743	1.003
0	NontuftRS6	nRT	4800	406.939	0.085
0	NontuftRS6	TCR	12250	4149.49	0.339
-1	Bask23	SyppyrFRB	2400	14933.483	6.222
-1	Axax23	TuftIB5	9000	1471.326	0.163
-1	LTS23	Bask23	4410	3932.979	0.892
-1	LTS23	SyppyrFRB	2100	3105.383	1.479
-1	LTS23	LTS23	3240	1944.385	0.6
-1	Axax56	TuftIB5	9250	1995.801	0.216
-1	Axax56	NontuftRS6	11500	3217.313	0.28
-1	LTS56	Axax56	5000	508.93	0.102
-1	LTS56	LTS56	4000	4139.819	1.035
-1	LTS56	TuftIB5	12000	450534.286	37.545
-1	Bask56	NontuftRS6	8750	34498.449	3.943
-1	Bask56	TuftIB5	10500	138381.706	13.179
-1	Bask56	Bask56	3700	2823.977	0.763
-1	LTS4	Spinstel4	11760	28232.574	2.401
-1	Bask23	LTS23	3870	3468.261	0.896
-1	Axax23	SyppyrFRB	1800	968.111	0.538
-1	LTS23	Axax23	3870	698.994	0.181
-1	Bask23	Spinstel4	9600	2597.365	0.271
-1	Axax23	Spinstel4	10560	340.805	0.032
-1	LTS23	Spinstel4	11040	2314.731	0.21
-1	Axax23	NontuftRS6	8750	3160.45	0.361
-1	LTS23	NontuftRS6	10750	13961.745	1.299
-1	LTS23	TuftIB5	9750	161958.71	16.611
-1	LTS23	TuftRS5	7600	125992.088	16.578
-1	LTS23	Axax56	4700	65.793	0.014
-1	LTS23	LTS56	5000	234.316	0.047
-1	Bask56	Axax56	5000	285.132	0.057
-1	LTS56	NontuftRS6	9750	119280.298	12.234
-1	LTS56	Bask56	4100	1151.601	0.281
-1	Bask56	LTS56	4200	3448.275	0.821
-1	Bask56	Spinstel4	11040	3179.881	0.288
-1	LTS56	Spinstel4	9840	5313.009	0.54
-1	Bask56	TuftRS5	7200	114814.646	15.946
-1	LTS56	TuftRS5	9200	172899.779	18.793
-1	Axax56	TuftRS5	7800	4348.07	0.557
-1	LTS56	SyppyrRS	23000	188720.661	8.205
-1	LTS56	LTS23	4500	4386.787	0.975
